id,name,category,price,image,images,description,details,available,stock
1,Banarasi Silk Royal,Silk,8500,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=800,https://images.unsplash.com/photo-1610030469983-98e550d6193c?w=800|https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=800,Exquisite handwoven Banarasi silk with intricate golden zari work featuring traditional motifs,Pure silk with gold zari|Handwoven in Varanasi|Blouse piece included,true,5
2,Mysore Silk Classic,Silk,6800,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=800,https://images.unsplash.com/photo-1595777457583-95e059d581b8?w=800,Pure mulberry silk with traditional South Indian motifs known for lustrous finish,100% Mulberry silk|Traditional motifs|With blouse piece,true,8
3,Cotton Summer Breeze,Cotton,2200,https://images.unsplash.com/photo-1618932260643-ee32b53e2f45?w=800,https://images.unsplash.com/photo-1618932260643-ee32b53e2f45?w=800,Lightweight breathable cotton perfect for daily wear with floral block print,Pure cotton fabric|Block print design|Machine washable,true,15
4,Chiffon Elegance,Chiffon,3800,https://images.unsplash.com/photo-1583391728516-b7288e82ebf5?w=800,https://images.unsplash.com/photo-1583391728516-b7288e82ebf5?w=800,Flowing chiffon with delicate floral print and graceful fall,Premium chiffon|Delicate floral print|Sequin border,true,6
5,Georgette Party Sparkle,Georgette,4200,https://images.unsplash.com/photo-1610189012906-2c8a2bfcffa2?w=800,https://images.unsplash.com/photo-1610189012906-2c8a2bfcffa2?w=800,Shimmer georgette with subtle sparkle work for celebrations,Heavy georgette|Embroidered details|Heavy work blouse,true,4
6,Tussar Silk Heritage,Silk,7200,https://images.unsplash.com/photo-1608296694063-ee002f3c5b9c?w=800,https://images.unsplash.com/photo-1608296694063-ee002f3c5b9c?w=800,Rich tussar silk with tribal prints and natural golden hue,Natural tussar silk|Tribal print art|Premium quality,true,3
7,Cotton Lucknowi Chikankari,Cotton,3500,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=800,https://images.unsplash.com/photo-1594633312681-425c7b97ccd1?w=800,Delicate Lucknowi chikankari work on fine cotton with intricate threadwork,Fine cotton base|Hand chikankari|Intricate threadwork,true,7
8,Chiffon Evening Dream,Chiffon,4500,https://images.unsplash.com/photo-1618932142694-6c749c00b31f?w=800,https://images.unsplash.com/photo-1618932142694-6c749c00b31f?w=800,Sequinned chiffon for evening soirees with stunning embellishments,Premium chiffon|Heavy sequin work|Matching blouse,true,2
9,Georgette Festive Celebration,Georgette,3800,https://images.unsplash.com/photo-1609651635682-3348d2b94f0c?w=800,https://images.unsplash.com/photo-1609651635682-3348d2b94f0c?w=800,Vibrant georgette with festive prints and bright colors,Festive collection|Vibrant colors|Comfortable drape,true,10
10,Kanjivaram Temple Border,Silk,12500,https://images.unsplash.com/photo-1610189001878-18fc7c0b6fc7?w=800,https://images.unsplash.com/photo-1610189001878-18fc7c0b6fc7?w=800,The gold standard of silk sarees with heavy zari work and traditional temple border,Pure Kanjivaram silk|Temple border design|Heavy zari work,true,1
11,Linen Cotton Natural,Cotton,2800,https://images.unsplash.com/photo-1616763355548-1b606f439f86?w=800,https://images.unsplash.com/photo-1616763355548-1b606f439f86?w=800,Sustainable linen cotton blend with earthy texture,Linen cotton blend|Natural texture|Eco-friendly,true,12
12,Organza Dream,Chiffon,5200,https://images.unsplash.com/photo-1602710317700-25a5e4109862?w=800,https://images.unsplash.com/photo-1602710317700-25a5e4109862?w=800,Delicate organza with intricate embroidery for ethereal look,Pure organza|Heavy embroidery|Bridal collection,true,3